KÛd obce,N·zev obce,VoliËi v seznamu,VydanÈ ob·lky,PlatnÈ Hlasy,ObËansk· demokratick· strana,ÿ·d n·roda - Vlasteneck· unie,CESTA ODPOVÃDN… SPOLE»NOSTI,»esk· str.soci·lnÏ demokrat.,RadostnÈ »esko,STAROSTOV… A NEZ¡VISLÕ,Komunistick· str.»ech a Moravy,Strana zelen˝ch,"ROZUMNÕ-stop migraci,dikt·t.EU",Strana svobodn˝ch obËan˘,Blok proti islam.-Obran.domova,ObËansk· demokratick· aliance,»esk· pir·tsk· strana,Referendum o EvropskÈ unii,TOP 09,ANO 2011,Dobr· volba 2016,SPR-Republ.str.»sl. M.Sl·dka,K¯esù.demokr.unie-»s.str.lid.,REALIST…,SPORTOVCI,DÏlnic.str.soci·lnÌ spravedl.,Svob.a p¯.dem.-T.Okamura (SPD),Strana Pr·v ObËan˘
541648,Branky,771,455,453,25,0,0,18,0,14,42,6,4,4,0,0,51,0,21,156,0,1,37,1,5,0,67,1
541711,Byst¯iËka,814,549,543,76,2,0,35,1,26,20,10,5,6,0,1,57,1,21,181,0,1,32,1,3,1,61,2
541800,DolnÌ BeËva,1551,945,942,88,0,0,75,0,37,54,7,7,10,0,2,79,0,29,257,1,1,171,6,1,2,113,2
542644,Francova Lhota,1305,761,757,67,0,0,42,0,43,39,10,10,21,1,2,67,0,18,174,1,1,151,2,1,2,98,7
542679,Halenkov,1909,1046,1041,98,1,0,124,0,26,72,11,8,11,1,3,66,0,33,260,0,1,183,5,1,6,129,2
542687,HornÌ BeËva,2119,1277,1271,123,0,0,94,0,66,77,14,14,32,3,2,107,1,25,351,3,1,122,13,3,0,217,3
542725,HornÌ LideË,1099,725,717,42,1,0,38,0,25,30,13,1,9,0,0,59,0,15,175,0,2,213,2,2,1,83,6
542750,Hoöù·lkov·,1766,1046,1041,106,0,0,54,0,64,56,9,6,14,4,2,75,0,17,288,1,1,114,4,4,1,217,4
542768,HovÏzÌ,1927,1196,1187,97,0,2,73,1,131,74,10,17,10,0,2,74,0,11,325,0,1,207,2,2,3,144,1
542784,Huslenky,1816,1013,1008,79,1,1,96,3,58,56,7,10,14,1,3,88,0,26,245,1,2,154,3,1,2,155,2
542814,Hutisko-Solanec,1607,1006,991,98,2,0,64,0,47,82,13,5,11,0,2,67,0,18,295,1,1,148,10,10,1,112,4
542831,ChorynÏ,599,359,357,29,1,1,25,0,11,27,3,2,6,1,1,32,1,7,119,0,0,41,3,0,1,44,2
542865,Jabl˘nka,1647,1004,998,113,0,1,66,0,54,58,14,5,18,3,3,111,0,18,279,0,4,79,13,4,2,148,5
570346,Janov·,609,375,374,58,3,0,21,0,29,24,3,2,10,2,1,33,0,5,98,0,2,27,4,1,1,47,3
542903,Jarcov·,675,405,402,37,0,0,40,1,21,16,5,5,3,0,0,49,0,9,136,1,0,29,1,0,0,48,1
542911,Karolinka,2161,1179,1172,102,1,3,127,1,39,108,14,9,20,0,1,72,1,18,330,0,2,119,2,2,1,196,4
542946,Kate¯inice,834,487,483,44,0,0,27,0,45,34,7,6,10,2,0,32,0,11,127,0,0,40,0,4,0,92,2
542989,KelË,2091,1386,1380,73,2,1,65,3,67,88,6,6,13,2,0,87,0,27,482,0,1,285,4,1,2,162,3
542997,Kladeruby,354,208,208,17,0,0,13,1,7,16,2,4,1,0,0,13,0,4,83,0,2,29,2,0,0,14,0
500062,Krhov·,1616,1034,1031,111,2,1,46,2,27,48,5,16,31,1,2,86,1,20,391,1,0,105,7,0,3,124,1
543021,Kunovice,498,357,355,14,0,0,17,1,15,36,1,0,4,0,0,46,0,5,125,0,0,43,2,1,1,43,1
543098,LaËnov,679,430,422,18,1,0,30,0,19,21,2,5,8,1,0,27,1,12,92,1,2,143,1,1,0,36,1
544264,Leskovec,553,289,286,27,1,0,20,2,32,14,2,2,4,0,0,27,0,5,81,0,0,22,1,0,3,40,3
544302,Leön·,1645,1074,1061,77,0,0,67,0,34,64,8,7,10,1,1,119,0,34,398,0,2,125,3,0,2,102,7
556866,Lhota u VsetÌna,639,381,381,47,2,1,23,0,38,24,7,3,14,1,0,43,2,9,81,0,2,17,1,2,0,63,1
544370,LideËko,1436,916,913,39,2,0,26,1,19,24,6,6,10,0,0,53,0,13,201,1,2,426,1,0,1,82,0
544396,Lipt·l,1205,719,714,78,1,0,44,2,43,31,9,4,23,0,0,62,1,22,178,0,3,52,4,0,1,150,6
544418,LouËka,637,406,403,41,1,0,19,0,31,22,3,2,7,3,1,15,0,12,160,0,1,31,2,1,1,49,1
544434,Luûn·,502,310,310,8,0,0,13,0,27,20,3,4,2,0,0,20,0,5,86,0,1,74,1,0,0,45,1
544469,Mal· Byst¯ice,276,184,183,12,0,0,21,0,9,16,1,3,5,0,1,24,0,9,46,0,0,19,0,2,0,15,0
544507,Mikul˘vka,601,349,346,41,0,2,19,0,22,23,9,0,6,1,0,33,0,19,91,0,0,22,2,1,1,52,2
544566,Nov˝ Hrozenkov,2173,1115,1110,117,1,1,137,1,37,58,16,7,20,2,2,69,2,30,225,0,3,210,5,2,2,152,11
544574,Oznice,370,285,283,21,0,0,15,0,18,10,2,2,6,0,0,31,0,7,105,0,0,25,1,0,0,40,0
569496,PodolÌ,200,113,113,5,0,0,11,0,7,9,1,0,6,0,0,0,0,1,39,0,0,18,1,0,0,15,0
544621,Police,445,279,277,22,0,1,10,0,16,12,1,4,2,0,0,32,1,3,94,0,0,36,0,0,0,42,1
500071,PoliËn·,1443,959,954,106,0,2,61,2,37,62,7,12,16,3,1,74,1,32,326,1,1,83,3,2,3,117,2
544655,PozdÏchov,489,305,303,15,1,0,12,0,33,29,5,5,1,0,0,23,0,0,75,2,0,59,4,0,0,36,3
544671,Prlov,443,271,270,8,0,0,36,0,22,37,5,4,7,0,0,9,0,3,86,0,2,17,0,1,1,31,1
544698,Prost¯ednÌ BeËva,1456,943,938,79,0,0,45,1,35,47,4,3,17,0,0,65,0,20,320,0,2,111,10,2,5,166,6
544728,Prûno,518,323,323,34,1,0,19,1,15,24,8,0,3,0,1,20,0,10,94,0,2,33,7,0,1,47,3
544787,Ratibo¯,1496,915,909,129,3,0,71,0,54,54,9,11,15,0,1,67,0,24,261,2,1,60,7,2,2,126,10
544841,Roûnov pod RadhoötÏm,13759,8366,8313,1008,11,4,512,3,371,350,188,54,121,7,6,929,6,275,2520,5,13,679,76,22,12,1108,33
544850,R˘ûÔka,760,424,422,35,0,1,29,4,34,25,3,5,6,1,2,41,0,13,132,1,0,38,0,1,0,49,2
544906,Seninka,251,158,157,31,0,0,11,0,13,13,10,2,1,0,0,9,0,2,46,0,5,1,0,0,0,12,1
544914,St¯eln·,495,283,281,27,1,0,29,0,7,20,3,1,5,0,0,10,0,1,64,0,2,72,0,0,0,39,0
544922,St¯Ìteû nad BeËvou,691,451,451,36,0,0,46,2,34,24,9,5,5,2,2,34,1,11,141,1,0,48,0,1,1,48,0
544931,ätudlov,433,272,272,21,0,0,8,0,12,12,2,3,10,0,0,18,0,7,53,0,1,84,0,1,0,39,1
570371,⁄stÌ,507,309,307,44,0,2,28,1,27,12,2,5,3,0,4,21,0,4,98,2,0,23,1,0,2,28,0
544949,Valaösk· Byst¯ice,1843,1098,1094,85,0,0,98,1,38,46,13,5,14,2,1,99,0,30,296,0,2,237,4,3,1,116,3
544990,Valaösk· Polanka,1164,715,707,35,2,0,27,0,70,32,6,12,7,0,0,61,1,23,176,0,3,160,3,2,0,84,3
553026,Valaösk· Senice,379,224,223,16,0,0,14,0,13,8,2,13,5,1,2,9,0,1,44,0,0,68,1,0,0,24,2
545058,ValaöskÈ Mezi¯ÌËÌ,18229,10963,10883,1107,5,9,692,9,325,601,123,60,233,10,9,1015,15,357,3737,7,19,1044,77,16,10,1370,33
545112,ValaöskÈ P¯Ìkazy,243,159,159,15,1,0,10,0,9,11,5,1,1,0,1,12,0,7,33,0,1,35,0,0,0,16,1
545147,Velk· Lhota,415,265,262,37,0,0,9,0,18,11,1,2,9,0,0,21,0,12,77,0,0,33,1,1,1,29,0
545163,VelkÈ Karlovice,2101,1285,1273,154,0,3,100,0,77,85,17,5,20,1,5,104,0,62,268,0,2,209,10,2,7,132,10
545198,VidËe,1384,884,877,101,1,0,73,0,52,54,7,9,10,3,1,95,0,18,224,1,1,89,6,3,0,124,5
545210,Vigantice,856,566,563,109,0,0,33,1,25,20,11,2,9,0,6,64,0,15,153,0,0,50,9,5,6,44,1
541630,VsetÌn,21435,12393,12307,1416,40,5,1000,12,786,867,231,83,264,14,15,1137,11,362,3136,14,26,1178,71,24,15,1541,59
545236,Zaöov·,2358,1449,1443,143,0,2,84,0,70,54,29,6,34,0,2,142,0,46,430,0,3,230,6,8,1,145,8
545244,ZdÏchov,499,314,311,27,1,0,18,1,15,16,5,1,4,0,0,23,0,10,102,0,1,58,1,1,1,26,0
545252,Zub¯Ì,4446,2831,2805,252,1,3,214,3,109,170,28,26,75,2,0,231,2,67,882,0,1,244,16,29,7,395,48
